month,YR,MTH,Weekdays,Saturdays,Sundays,Holidays,Wkday+HolMinor,Saturday+HolMajor,Sundays,TotalDays
1/1/2019,2019,1,21,4,4,2,21,6,4,31
2/1/2019,2019,2,19,4,4,1,19,5,4,28
3/1/2019,2019,3,21,5,5,0,21,5,5,31
4/1/2019,2019,4,22,4,4,0,22,4,4,30
5/1/2019,2019,5,22,4,4,1,22,5,4,31
6/1/2019,2019,6,20,5,5,0,20,5,5,30
7/1/2019,2019,7,22,4,4,1,22,5,4,31
8/1/2019,2019,8,22,5,4,0,22,5,4,31
9/1/2019,2019,9,20,4,5,1,20,5,5,30
10/1/2019,2019,10,22,4,4,1,23,4,4,31
11/1/2019,2019,11,18,5,4,3,19,7,4,30
12/1/2019,2019,12,21,4,5,1,21,5,5,31
1/1/2020,2020,1,21,4,4,2,21,6,4,31
2/1/2020,2020,2,19,5,4,1,19,6,4,29
3/1/2020,2020,3,22,4,5,0,22,4,5,31
4/1/2020,2020,4,22,4,4,0,22,4,4,30
5/1/2020,2020,5,20,5,5,1,20,6,5,31
6/1/2020,2020,6,22,4,4,0,22,4,4,30
7/1/2020,2020,7,22,4,4,1,22,5,4,31
8/1/2020,2020,8,21,5,5,0,21,5,5,31
9/1/2020,2020,9,21,4,4,1,21,5,4,30
10/1/2020,2020,10,21,5,4,1,22,5,4,31
11/1/2020,2020,11,18,4,5,3,19,6,5,30
12/1/2020,2020,12,22,4,4,1,22,5,4,31
1/1/2021,2021,1,19,5,5,2,19,7,5,31
2/1/2021,2021,2,19,4,4,1,19,5,4,28
3/1/2021,2021,3,23,4,4,0,23,4,4,31
4/1/2021,2021,4,22,4,4,0,22,4,4,30
5/1/2021,2021,5,20,5,5,1,20,6,5,31
6/1/2021,2021,6,22,4,4,0,22,4,4,30
7/1/2021,2021,7,21,5,4,1,21,6,4,31
8/1/2021,2021,8,22,4,5,0,22,4,5,31
9/1/2021,2021,9,21,4,4,1,21,5,4,30
10/1/2021,2021,10,20,5,5,1,21,5,5,31
11/1/2021,2021,11,19,4,4,3,20,6,4,30
12/1/2021,2021,12,21,4,4,2,21,6,4,31
1/1/2022,2022,1,20,5,5,1,20,6,5,31
2/1/2022,2022,2,19,4,4,1,19,5,4,28
3/1/2022,2022,3,23,4,4,0,23,4,4,31
4/1/2022,2022,4,21,5,4,0,21,5,4,30
5/1/2022,2022,5,21,4,5,1,21,5,5,31
6/1/2022,2022,6,22,4,4,0,22,4,4,30
7/1/2022,2022,7,20,5,5,1,20,6,5,31
8/1/2022,2022,8,23,4,4,0,23,4,4,31
9/1/2022,2022,9,21,4,4,1,21,5,4,30
10/1/2022,2022,10,20,5,5,1,21,5,5,31
11/1/2022,2022,11,19,4,4,3,20,6,4,30
12/1/2022,2022,12,21,5,4,1,21,6,4,31
1/1/2023,2023,1,20,4,5,2,20,6,5,31
2/1/2023,2023,2,19,4,4,1,19,5,4,28
3/1/2023,2023,3,23,4,4,0,23,4,4,31
4/1/2023,2023,4,20,5,5,0,20,5,5,30
5/1/2023,2023,5,22,4,4,1,22,5,4,31
6/1/2023,2023,6,22,4,4,0,22,4,4,30
7/1/2023,2023,7,20,5,5,1,20,6,5,31
8/1/2023,2023,8,23,4,4,0,23,4,4,31
9/1/2023,2023,9,20,5,4,1,20,6,4,30
10/1/2023,2023,10,21,4,5,1,22,4,5,31
11/1/2023,2023,11,19,4,4,3,20,6,4,30
12/1/2023,2023,12,20,5,5,1,20,6,5,31
1/1/2024,2024,1,21,4,4,2,21,6,4,31
2/1/2024,2024,2,20,4,4,1,20,5,4,29
3/1/2024,2024,3,21,5,5,0,21,5,5,31
4/1/2024,2024,4,22,4,4,0,22,4,4,30
5/1/2024,2024,5,22,4,4,1,22,5,4,31
6/1/2024,2024,6,20,5,5,0,20,5,5,30
7/1/2024,2024,7,22,4,4,1,22,5,4,31
8/1/2024,2024,8,22,5,4,0,22,5,4,31
9/1/2024,2024,9,20,4,5,1,20,5,5,30
10/1/2024,2024,10,22,4,4,1,23,4,4,31
11/1/2024,2024,11,18,5,4,3,19,7,4,30
12/1/2024,2024,12,21,4,5,1,21,5,5,31
1/1/2025,2025,1,21,4,4,2,21,6,4,31
2/1/2025,2025,2,19,4,4,1,19,5,4,28
3/1/2025,2025,3,21,5,5,0,21,5,5,31
4/1/2025,2025,4,22,4,4,0,22,4,4,30
5/1/2025,2025,5,21,5,4,1,21,6,4,31
6/1/2025,2025,6,21,4,5,0,21,4,5,30
7/1/2025,2025,7,22,4,4,1,22,5,4,31
8/1/2025,2025,8,21,5,5,0,21,5,5,31
9/1/2025,2025,9,21,4,4,1,21,5,4,30
10/1/2025,2025,10,22,4,4,1,23,4,4,31
11/1/2025,2025,11,17,5,5,3,18,7,5,30
12/1/2025,2025,12,22,4,4,1,22,5,4,31
1/1/2026,2026,1,20,5,4,2,20,7,4,31
2/1/2026,2026,2,19,4,4,1,19,5,4,28
3/1/2026,2026,3,22,4,5,0,22,4,5,31
4/1/2026,2026,4,22,4,4,0,22,4,4,30
5/1/2026,2026,5,20,5,5,1,20,6,5,31
6/1/2026,2026,6,22,4,4,0,22,4,4,30
7/1/2026,2026,7,22,4,4,1,22,5,4,31
8/1/2026,2026,8,21,5,5,0,21,5,5,31
9/1/2026,2026,9,21,4,4,1,21,5,4,30
10/1/2026,2026,10,21,5,4,1,22,5,4,31
11/1/2026,2026,11,18,4,5,3,19,6,5,30
12/1/2026,2026,12,22,4,4,1,22,5,4,31
1/1/2027,2027,1,19,5,5,2,19,7,5,31
2/1/2027,2027,2,19,4,4,1,19,5,4,28
3/1/2027,2027,3,23,4,4,0,23,4,4,31
4/1/2027,2027,4,22,4,4,0,22,4,4,30
5/1/2027,2027,5,20,5,5,1,20,6,5,31
6/1/2027,2027,6,22,4,4,0,22,4,4,30
7/1/2027,2027,7,21,5,4,1,21,6,4,31
8/1/2027,2027,8,22,4,5,0,22,4,5,31
9/1/2027,2027,9,21,4,4,1,21,5,4,30
10/1/2027,2027,10,20,5,5,1,21,5,5,31
11/1/2027,2027,11,19,4,4,3,20,6,4,30
12/1/2027,2027,12,21,4,4,2,21,6,4,31
1/1/2028,2028,1,20,5,5,1,20,6,5,31
2/1/2028,2028,2,20,4,4,1,20,5,4,29
3/1/2028,2028,3,23,4,4,0,23,4,4,31
4/1/2028,2028,4,20,5,5,0,20,5,5,30
5/1/2028,2028,5,22,4,4,1,22,5,4,31
6/1/2028,2028,6,22,4,4,0,22,4,4,30
7/1/2028,2028,7,20,5,5,1,20,6,5,31
8/1/2028,2028,8,23,4,4,0,23,4,4,31
9/1/2028,2028,9,20,5,4,1,20,6,4,30
10/1/2028,2028,10,21,4,5,1,22,4,5,31
11/1/2028,2028,11,19,4,4,3,20,6,4,30
12/1/2028,2028,12,20,5,5,1,20,6,5,31
1/1/2029,2029,1,21,4,4,2,21,6,4,31
2/1/2029,2029,2,19,4,4,1,19,5,4,28
3/1/2029,2029,3,22,5,4,0,22,5,4,31
4/1/2029,2029,4,21,4,5,0,21,4,5,30
5/1/2029,2029,5,22,4,4,1,22,5,4,31
6/1/2029,2029,6,21,5,4,0,21,5,4,30
7/1/2029,2029,7,21,4,5,1,21,5,5,31
8/1/2029,2029,8,23,4,4,0,23,4,4,31
9/1/2029,2029,9,19,5,5,1,19,6,5,30
10/1/2029,2029,10,22,4,4,1,23,4,4,31
11/1/2029,2029,11,19,4,4,3,20,6,4,30
12/1/2029,2029,12,20,5,5,1,20,6,5,31
1/1/2030,2030,1,21,4,4,2,21,6,4,31
2/1/2030,2030,2,19,4,4,1,19,5,4,28
3/1/2030,2030,3,21,5,5,0,21,5,5,31
4/1/2030,2030,4,22,4,4,0,22,4,4,30
5/1/2030,2030,5,22,4,4,1,22,5,4,31
6/1/2030,2030,6,20,5,5,0,20,5,5,30
7/1/2030,2030,7,22,4,4,1,22,5,4,31
8/1/2030,2030,8,22,5,4,0,22,5,4,31
9/1/2030,2030,9,20,4,5,1,20,5,5,30
10/1/2030,2030,10,22,4,4,1,23,4,4,31
11/1/2030,2030,11,18,5,4,3,19,7,4,30
12/1/2030,2030,12,21,4,5,1,21,5,5,31
1/1/2031,2031,1,21,4,4,2,21,6,4,31
2/1/2031,2031,2,19,4,4,1,19,5,4,28
3/1/2031,2031,3,21,5,5,0,21,5,5,31
4/1/2031,2031,4,22,4,4,0,22,4,4,30
5/1/2031,2031,5,21,5,4,1,21,6,4,31
6/1/2031,2031,6,21,4,5,0,21,4,5,30
7/1/2031,2031,7,22,4,4,1,22,5,4,31
8/1/2031,2031,8,21,5,5,0,21,5,5,31
9/1/2031,2031,9,21,4,4,1,21,5,4,30
10/1/2031,2031,10,22,4,4,1,23,4,4,31
11/1/2031,2031,11,17,5,5,3,18,7,5,30
12/1/2031,2031,12,22,4,4,1,22,5,4,31
1/1/2032,2032,1,20,5,4,2,20,7,4,31
2/1/2032,2032,2,19,4,5,1,19,5,5,29
3/1/2032,2032,3,23,4,4,0,23,4,4,31
4/1/2032,2032,4,22,4,4,0,22,4,4,30
5/1/2032,2032,5,20,5,5,1,20,6,5,31
6/1/2032,2032,6,22,4,4,0,22,4,4,30
7/1/2032,2032,7,21,5,4,1,21,6,4,31
8/1/2032,2032,8,22,4,5,0,22,4,5,31
9/1/2032,2032,9,21,4,4,1,21,5,4,30
10/1/2032,2032,10,20,5,5,1,21,5,5,31
11/1/2032,2032,11,19,4,4,3,20,6,4,30
12/1/2032,2032,12,21,4,4,2,21,6,4,31
1/1/2033,2033,1,20,5,5,1,20,6,5,31
2/1/2033,2033,2,19,4,4,1,19,5,4,28
3/1/2033,2033,3,23,4,4,0,23,4,4,31
4/1/2033,2033,4,21,5,4,0,21,5,4,30
5/1/2033,2033,5,21,4,5,1,21,5,5,31
6/1/2033,2033,6,22,4,4,0,22,4,4,30
7/1/2033,2033,7,20,5,5,1,20,6,5,31
8/1/2033,2033,8,23,4,4,0,23,4,4,31
9/1/2033,2033,9,21,4,4,1,21,5,4,30
10/1/2033,2033,10,20,5,5,1,21,5,5,31
11/1/2033,2033,11,19,4,4,3,20,6,4,30
12/1/2033,2033,12,21,5,4,1,21,6,4,31
1/1/2034,2034,1,20,4,5,2,20,6,5,31
2/1/2034,2034,2,19,4,4,1,19,5,4,28
3/1/2034,2034,3,23,4,4,0,23,4,4,31
4/1/2034,2034,4,20,5,5,0,20,5,5,30
5/1/2034,2034,5,22,4,4,1,22,5,4,31
6/1/2034,2034,6,22,4,4,0,22,4,4,30
7/1/2034,2034,7,20,5,5,1,20,6,5,31
8/1/2034,2034,8,23,4,4,0,23,4,4,31
9/1/2034,2034,9,20,5,4,1,20,6,4,30
10/1/2034,2034,10,21,4,5,1,22,4,5,31
11/1/2034,2034,11,19,4,4,3,20,6,4,30
12/1/2034,2034,12,20,5,5,1,20,6,5,31
1/1/2035,2035,1,21,4,4,2,21,6,4,31
2/1/2035,2035,2,19,4,4,1,19,5,4,28
3/1/2035,2035,3,22,5,4,0,22,5,4,31
4/1/2035,2035,4,21,4,5,0,21,4,5,30
5/1/2035,2035,5,22,4,4,1,22,5,4,31
6/1/2035,2035,6,21,5,4,0,21,5,4,30
7/1/2035,2035,7,21,4,5,1,21,5,5,31
8/1/2035,2035,8,23,4,4,0,23,4,4,31
9/1/2035,2035,9,19,5,5,1,19,6,5,30
10/1/2035,2035,10,22,4,4,1,23,4,4,31
11/1/2035,2035,11,19,4,4,3,20,6,4,30
12/1/2035,2035,12,20,5,5,1,20,6,5,31
1/1/2036,2036,1,21,4,4,2,21,6,4,31
2/1/2036,2036,2,20,4,4,1,20,5,4,29
3/1/2036,2036,3,21,5,5,0,21,5,5,31
4/1/2036,2036,4,22,4,4,0,22,4,4,30
5/1/2036,2036,5,21,5,4,1,21,6,4,31
6/1/2036,2036,6,21,4,5,0,21,4,5,30
7/1/2036,2036,7,22,4,4,1,22,5,4,31
8/1/2036,2036,8,21,5,5,0,21,5,5,31
9/1/2036,2036,9,21,4,4,1,21,5,4,30
10/1/2036,2036,10,22,4,4,1,23,4,4,31
11/1/2036,2036,11,17,5,5,3,18,7,5,30
12/1/2036,2036,12,22,4,4,1,22,5,4,31
1/1/2037,2037,1,20,5,4,2,20,7,4,31
2/1/2037,2037,2,19,4,4,1,19,5,4,28
3/1/2037,2037,3,22,4,5,0,22,4,5,31
4/1/2037,2037,4,22,4,4,0,22,4,4,30
5/1/2037,2037,5,20,5,5,1,20,6,5,31
6/1/2037,2037,6,22,4,4,0,22,4,4,30
7/1/2037,2037,7,22,4,4,1,22,5,4,31
8/1/2037,2037,8,21,5,5,0,21,5,5,31
9/1/2037,2037,9,21,4,4,1,21,5,4,30
10/1/2037,2037,10,21,5,4,1,22,5,4,31
11/1/2037,2037,11,18,4,5,3,19,6,5,30
12/1/2037,2037,12,22,4,4,1,22,5,4,31
